,age,blood,car,constellation,education,ethnic,height,house,id,js_age,js_education,js_ethnic,js_height,js_location,js_marriaged,js_member,js_photo,location,marriaged,membership,nickname,salary,shengxiao,weight
0,35岁,--,--,狮子座,高中中专及以下,--,177cm,--,122792454,25-33岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,离异,普通会员,懂你,5000～10000元,狗,--
1,74岁,O型,暂未购车,狮子座,高中中专及以下,汉族,165cm,需要时购置,98658757,56-64岁之间,不限,不限,130厘米或以上,不限,丧偶,不限,有照片,绍兴,"丧偶,有小孩归自己",普通会员,绿水青山,2000～5000元,羊,--
2,43岁,AB型,暂未购车,水瓶座,本科,--,175cm,暂未购房,32007071,30-40岁之间,不限,不限,155-170厘米,不限,不限,不限,不限,绍兴,"离异,有小孩归自己",普通会员,沧海桑田,2000～5000元,虎,65公斤
3,44岁,O型,暂未购车,处女座,高中中专及以下,汉族,172cm,暂未购房,152141839,33-40岁之间,不限,不限,160-170厘米,不限,不限,不限,有照片,绍兴,"离异,有小孩归自己",高级会员,从头再来,2000～5000元,牛,--
4,38岁,A型,已经购车,狮子座,高中中专及以下,汉族,170cm,与父母同住,112113453,28-36岁之间,不限,不限,155-170厘米,浙江绍兴,不限,星级会员,有照片,绍兴,"离异,有小孩归自己",普通会员,守望者,2000～5000元,羊,70公斤
5,50岁,--,暂未购车,水瓶座,大专,汉族,165cm,已购房（无贷款）,146808056,41-49岁之间,不限,不限,155-170厘米,不限,离异、丧偶,不限,有照片,绍兴,丧偶,普通会员,快鱼,5000～10000元,马,--
6,46岁,A型,暂未购车,狮子座,高中中专及以下,汉族,165cm,独自租房,60452719,30-45岁之间,大专,不限,155-165厘米,"湖北,四川,重庆",不限,不限,有照片,绍兴,未婚,普通会员,空城,2000元以下,猪,64公斤
7,47岁,AB型,已购车（中档型）,巨蟹座,本科,汉族,180cm,需要时购置,126759498,33-45岁之间,不限,不限,163-178厘米,"浙江绍兴,浙江杭州,浙江金华",离异、丧偶,星级会员,有照片,绍兴,"离异,有小孩归对方",普通会员,自强不息,10000～20000元,狗,--
8,33岁,B型,暂未购车,双子座,高中中专及以下,汉族,178cm,与父母同住,57467992,18-30岁之间,不限,不限,160-177厘米 *,浙江绍兴,未婚,不限,不限,绍兴,未婚,普通会员,最后爱一次,2000～5000元,鼠,--
9,49岁,O型,暂未购车,巨蟹座,大专,汉族,170cm,已购住房,21637204,33-43岁之间,不限,汉族,156-170厘米,"浙江,安徽,上海,江苏,江西,河南,湖南,湖北,重庆,四川",离异、丧偶,不限,有照片,绍兴,"离异,无小孩",普通会员,单身独舞,2000～5000元,猴,64公斤
