,age,blood,car,constellation,education,ethnic,height,house,id,js_age,js_education,js_ethnic,js_height,js_location,js_marriaged,js_member,js_photo,location,marriaged,membership,nickname,salary,shengxiao,weight
0,23岁,--,--,天秤座,大专,--,170cm,--,168622875,18-24岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,8748,2000～5000元,狗,--
1,30岁,B型,已购车（中档型）,天蝎座,本科,其它民族,177cm,已购住房,46822848,21-29岁之间,大专,不限,160-172厘米 *,湖南长沙,未婚,不限,有照片,绍兴,未婚,普通会员,峡江守望者,20000～50000元,虎,80公斤
2,28岁,--,已经购车,金牛座,大专,汉族,175cm,与父母同住,91792166,18-30岁之间,不限,不限,155-180厘米,浙江绍兴,未婚,不限,不限,绍兴,未婚,普通会员,寻求真爱一枚,5000～10000元,蛇,71公斤
3,28岁,--,--,巨蟹座,硕士,--,177cm,--,167019499,21-29岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,东方未明,5000～10000元,蛇,--
4,29岁,--,--,处女座,高中中专及以下,--,165cm,--,122480830,19-27岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,夜之星,2000～5000元,龙,--
5,29岁,保密,--,水瓶座,大专,汉族,172cm,--,45103085,18-23岁之间,不限,不限,155-175厘米,不限,未婚,不限,有照片,绍兴,未婚,普通会员,小小小小的,5000～10000元,兔,--
6,26岁,--,--,双子座,本科,--,170cm,--,168665119,19-27岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,视频坏了,5000～10000元,羊,--
7,30岁,O型,暂未购车,水瓶座,高中中专及以下,汉族,170cm,住单位房,118516195,25-28岁之间,高中中专及以下,汉族,155-170厘米,"浙江绍兴,陕西咸阳,陕西西安",未婚、离异,不限,不限,绍兴,"离异,无小孩",普通会员,缘起缘灭,5000～10000元,虎,73公斤
8,25岁,其它,已购车（中档型）,水瓶座,大专,汉族,172cm,暂未购房,168611788,18-26岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,缘,10000～20000元,猴,--
9,29岁,AB型,暂未购车,双鱼座,本科,汉族,174cm,暂未购房,50875236,19-21岁之间,本科,不限,160-168厘米,"浙江宁波,浙江绍兴",未婚,星级会员,有照片,绍兴,未婚,普通会员,捡爱,5000～10000元,龙,66公斤
