,age,blood,car,constellation,education,ethnic,height,house,id,js_age,js_education,js_ethnic,js_height,js_location,js_marriaged,js_member,js_photo,location,marriaged,membership,nickname,salary,shengxiao,weight
0,38岁,B型,暂未购车,狮子座,高中中专及以下,汉族,166cm,已购房（有贷款）,113396678,25-37岁之间,高中中专及以下或以上,不限,158-175厘米,浙江绍兴,未婚,不限,有照片,绍兴,"离异,有小孩归自己",普通会员,小马,2000～5000元,羊,62公斤
1,37岁,B型,已购车（中档型）,天蝎座,本科,汉族,174cm,已购房（无贷款）,164074902,29-36岁之间,大专,不限,155-170厘米,浙江绍兴,不限,不限,有照片,绍兴,"离异,有小孩归自己",普通会员,Pettery,20000～50000元,羊,65公斤
2,33岁,--,--,射手座,本科,--,183cm,--,155073812,22-27岁之间,不限,不限,160-169厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,直线加速,5000～10000元,猪,--
3,34岁,--,--,双子座,高中中专及以下,--,166cm,--,162044011,24-36岁之间,高中中专及以下,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,离异,普通会员,在华沙体贴的翠安,5000～10000元,猪,--
4,37岁,A型,暂未购车,天蝎座,高中中专及以下,汉族,175cm,与父母同住,157309483,30-39岁之间,不限,不限,155-170厘米,浙江绍兴,未婚、离异,不限,有照片,绍兴,"离异,有小孩归自己",普通会员,期待,5000～10000元,羊,--
5,47岁,O型,已购车（中档型）,金牛座,本科,汉族,177cm,已购房（无贷款）,158645577,38-48岁之间,不限,不限,155-170厘米,不限,不限,不限,有照片,绍兴,"离异,有小孩归自己",高级会员,我心依旧,20000～50000元,狗,77公斤
6,33岁,--,--,魔羯座,本科,--,172cm,--,166021908,26-34岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,离异,普通会员,yifu,2000元以下,猪,--
7,35岁,--,--,双子座,高中中专及以下,--,170cm,--,151548027,24-36岁之间,高中中专及以下或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,离异,普通会员,佳缘会员,2000～5000元,狗,--
8,37岁,--,--,射手座,高中中专及以下,--,170cm,--,154436222,26-36岁之间,不限,不限,155-170厘米,浙江,未婚,不限,有照片,绍兴,离异,普通会员,天涯海角,5000～10000元,羊,--
9,53岁,O型,已购车（中档型）,金牛座,本科,汉族,174cm,已购房（无贷款）,161535134,39-51岁之间,不限,不限,158-175厘米,浙江,不限,不限,不限,绍兴,离异,普通会员,冰凡快乐的在漓江,20000～50000元,龙,68公斤
10,37岁,--,--,天蝎座,高中中专及以下,--,176cm,--,128108471,18-37岁之间,高中中专及以下或以上,不限,158-171厘米,浙江,未婚,不限,有照片,绍兴,未婚,普通会员,独步莲花,2000～5000元,羊,--
11,44岁,--,已购车（经济型）,狮子座,高中中专及以下,汉族,174cm,与父母同住,152453533,33-45岁之间,高中中专及以下,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,离异,普通会员,孤独者,5000～10000元,牛,--
12,37岁,--,--,白羊座,高中中专及以下,--,168cm,--,163317321,27-37岁之间,不限,不限,155-165厘米,浙江,未婚,星级会员,有照片,绍兴,丧偶,普通会员,缘分,5000～10000元,猴,--
13,46岁,--,--,白羊座,高中中专及以下,--,171cm,--,134049770,39-44岁之间,不限,不限,155-170厘米,浙江,未婚,不限,有照片,绍兴,离异,普通会员,呵呵,2000～5000元,猪,--
