,age,blood,car,constellation,education,ethnic,height,house,id,js_age,js_education,js_ethnic,js_height,js_location,js_marriaged,js_member,js_photo,location,marriaged,membership,nickname,salary,shengxiao,weight
0,30岁,--,--,狮子座,大专,--,170cm,--,169643562,23-31岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,找人来爱我,5000～10000元,兔,--
1,27岁,AB型,暂未购车,魔羯座,高中中专及以下,其它民族,165cm,与父母同住,135200536,不限,不限,不限,不限,不限,不限,不限,有照片,绍兴,未婚,普通会员,愛メ刻骨銘心,5000～10000元,蛇,65公斤
2,29岁,--,暂未购车,射手座,本科,汉族,175cm,与父母同住,126340791,20-28岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,鬼羽,2000～5000元,兔,90公斤
3,29岁,B型,已购车（中档型）,天秤座,本科,汉族,182cm,已购房（有贷款）,135125013,24-29岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,W.K.,5000～10000元,龙,--
4,25岁,--,已购车（经济型）,魔羯座,大专,汉族,170cm,已购房（有贷款）,139618020,18-24岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,忘了去懂你,2000～5000元,羊,--
5,28岁,--,--,金牛座,本科,--,170cm,--,156851819,22-27岁之间,不限,不限,155-161厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,晚风,2000～5000元,蛇,--
6,32岁,O型,已购车（经济型）,处女座,大专,汉族,176cm,独自租房,149310043,26-35岁之间,不限,不限,156-180厘米,不限,不限,不限,有照片,绍兴,未婚,高级会员,BLACK 柠檬,5000～10000元,牛,85公斤
7,26岁,--,--,天蝎座,本科,--,155cm,--,169492044,20-28岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,天下唯你不可弃,5000～10000元,马,--
8,28岁,其它,暂未购车,处女座,本科,汉族,170cm,住单位房,164179206,21-29岁之间,不限,不限,155-170厘米 *,浙江,未婚,不限,有照片,绍兴,未婚,高级会员,缘,2000～5000元,蛇,55公斤
9,24岁,A型,需要时购置,金牛座,大专,汉族,170cm,需要时购置,132537469,18-23岁之间,不限,不限,155-170厘米,浙江,未婚,不限,不限,绍兴,未婚,高级会员,淡淡的,5000～10000元,鸡,55公斤
10,25岁,--,已购车（豪华型）,处女座,本科,汉族,173cm,与父母同住,120244055,18-25岁之间,不限,不限,154-172厘米,"浙江,上海",未婚,不限,有照片,绍兴,未婚,高级会员,小飞侠,5000～10000元,猴,120公斤
11,25岁,O型,已购车（经济型）,狮子座,本科,汉族,176cm,已购房（无贷款）,158917517,18-28岁之间,高中中专及以下或以上,不限,155-170厘米,"河南,湖北,安徽,江西",未婚、离异,不限,有照片,绍兴,未婚,普通会员,来生缘,10000～20000元,猴,65公斤
12,28岁,--,已购车（中档型）,天蝎座,本科,汉族,171cm,需要时购置,118872470,21-28岁之间,不限,不限,155-173厘米,不限,不限,不限,有照片,绍兴,未婚,高级会员,千里,10000～20000元,龙,69公斤
13,27岁,AB型,暂未购车,处女座,本科,汉族,167cm,与父母同住,163995824,20-28岁之间,不限,不限,160-170厘米,国外,未婚,不限,不限,绍兴,未婚,高级会员,斯克莱,2000元以下,马,60公斤
14,26岁,AB型,暂未购车,处女座,大专,汉族,170cm,与父母同住,118116088,20-25岁之间,不限,不限,155-175厘米,"浙江杭州,浙江绍兴",不限,不限,有照片,绍兴,未婚,普通会员,佳缘会员,2000～5000元,羊,--
15,29岁,A型,已购车（中档型）,巨蟹座,本科,汉族,178cm,已购房（无贷款）,166701357,不限,不限,不限,155-175厘米,不限,不限,不限,有照片,绍兴,未婚,高级会员,女孩别哭,10000～20000元,龙,73公斤
16,30岁,O型,已经购车,处女座,大专,汉族,173cm,已购住房,117680144,20-32岁之间,不限,汉族,158-175厘米,浙江,未婚,不限,有照片,绍兴,未婚,普通会员,百度,10000～20000元,兔,68公斤
