Index,rate,person_page,watched,want,register_date,isfake
589,5.0,https://www.douban.com/people/162795212,2,0.0,1497999600.0,
695,5.0,https://www.douban.com/people/162765908,1,1.0,1497913200.0,
1009,2.0,https://www.douban.com/people/162762142,2,0.0,1497913200.0,
1579,1.0,https://www.douban.com/people/162776372,3,0.0,1497913200.0,
1725,5.0,https://www.douban.com/people/162778933,1,0.0,1497913200.0,
1047,3.0,https://www.douban.com/people/162753337,8,0.0,1497913200.0,
571,1.0,https://www.douban.com/people/162738674,2,6.0,1497826800.0,
1210,1.0,https://www.douban.com/people/162745008,1,0.0,1497826800.0,
1283,1.0,https://www.douban.com/people/162730144,5,0.0,1497826800.0,
74,3.0,https://www.douban.com/people/162741035,3,4.0,1497826800.0,
631,3.0,https://www.douban.com/people/162728952,7,0.0,1497826800.0,
415,3.0,https://www.douban.com/people/162733774,1,0.0,1497826800.0,
952,5.0,https://www.douban.com/people/162739306,1,0.0,1497826800.0,
1539,3.0,https://www.douban.com/people/162725759,1,0.0,1497826800.0,
1354,1.0,https://www.douban.com/people/162702390,1,0.0,1497740400.0,
693,1.0,https://www.douban.com/people/162705506,2,0.0,1497740400.0,
1357,3.0,https://www.douban.com/people/162708465,6,2.0,1497740400.0,
1215,2.0,https://www.douban.com/people/162674657,3,0.0,1497740400.0,
245,2.0,https://www.douban.com/people/162680124,3,0.0,1497740400.0,
1837,3.0,https://www.douban.com/people/162700825,1,0.0,1497740400.0,
1494,1.0,https://www.douban.com/people/162678018,1,0.0,1497740400.0,
1598,1.0,https://www.douban.com/people/162663921,3,7.0,1497654000.0,
46,1.0,https://www.douban.com/people/162635599,12,0.0,1497654000.0,
493,1.0,https://www.douban.com/people/162645912,8,0.0,1497654000.0,
1267,1.0,https://www.douban.com/people/162661233,1,0.0,1497654000.0,
714,1.0,https://www.douban.com/people/162614518,3,0.0,1497567600.0,
727,4.0,https://www.douban.com/people/162596692,2,0.0,1497567600.0,
1335,1.0,https://www.douban.com/people/162601362,3,0.0,1497567600.0,
1712,4.0,https://www.douban.com/people/162614538,3,0.0,1497567600.0,
760,5.0,https://www.douban.com/people/162612168,3,0.0,1497567600.0,
1590,4.0,https://www.douban.com/people/162628635,4,6.0,1497567600.0,
156,5.0,https://www.douban.com/people/162618043,1,0.0,1497567600.0,
236,5.0,https://www.douban.com/people/162627263,1,0.0,1497567600.0,
902,4.0,https://www.douban.com/people/162594206,1,0.0,1497567600.0,
87,1.0,https://www.douban.com/people/162625355,1,0.0,1497567600.0,
975,3.0,https://www.douban.com/people/162618183,1,0.0,1497567600.0,
1264,1.0,https://www.douban.com/people/162628958,1,0.0,1497567600.0,
4,5.0,https://www.douban.com/people/162605587,1,0.0,1497567600.0,
1229,1.0,https://www.douban.com/people/162614524,1,0.0,1497567600.0,
1643,1.0,https://www.douban.com/people/162597272,1,0.0,1497567600.0,
1088,1.0,https://www.douban.com/people/162612291,1,0.0,1497567600.0,
1297,1.0,https://www.douban.com/people/162606326,1,0.0,1497567600.0,
1526,3.0,https://www.douban.com/people/162616863,2,0.0,1497567600.0,
398,1.0,https://www.douban.com/people/162613949,1,0.0,1497567600.0,
1472,1.0,https://www.douban.com/people/162552615,3,1.0,1497481200.0,
264,4.0,https://www.douban.com/people/162568414,2,1.0,1497481200.0,
1490,1.0,https://www.douban.com/people/162571043,14,2.0,1497481200.0,
795,3.0,https://www.douban.com/people/162563497,1,0.0,1497481200.0,
301,1.0,https://www.douban.com/people/162560411,1,0.0,1497481200.0,
1457,1.0,https://www.douban.com/people/162552416,2,0.0,1497481200.0,
920,1.0,https://www.douban.com/people/162567430,2,0.0,1497481200.0,
1000,1.0,https://www.douban.com/people/162552149,1,0.0,1497481200.0,
1430,3.0,https://www.douban.com/people/162588355,13,0.0,1497481200.0,
1409,1.0,https://www.douban.com/people/162585504,4,0.0,1497481200.0,
1037,5.0,https://www.douban.com/people/162574274,5,0.0,1497481200.0,
153,1.0,https://www.douban.com/people/162559775,1,0.0,1497481200.0,
775,3.0,https://www.douban.com/people/162590838,2,0.0,1497481200.0,
296,5.0,https://www.douban.com/people/162572980,1,0.0,1497481200.0,
15,1.0,https://www.douban.com/people/162571509,1,0.0,1497481200.0,
360,3.0,https://www.douban.com/people/162579331,1,0.0,1497481200.0,
1576,1.0,https://www.douban.com/people/162553120,1,0.0,1497481200.0,
310,1.0,https://www.douban.com/people/162554460,4,0.0,1497481200.0,
1223,3.0,https://www.douban.com/people/162560520,4,1.0,1497481200.0,
17,1.0,https://www.douban.com/people/162565764,1,0.0,1497481200.0,
1824,1.0,https://www.douban.com/people/162557644,1,0.0,1497481200.0,
1306,1.0,https://www.douban.com/people/162592198,5,0.0,1497481200.0,
1757,2.0,https://www.douban.com/people/162579452,1,0.0,1497481200.0,
345,1.0,https://www.douban.com/people/162553380,4,0.0,1497481200.0,
51,1.0,https://www.douban.com/people/162553016,1,0.0,1497481200.0,
192,1.0,https://www.douban.com/people/162583200,5,0.0,1497481200.0,
308,1.0,https://www.douban.com/people/162559178,1,0.0,1497481200.0,
1247,1.0,https://www.douban.com/people/162559060,1,0.0,1497481200.0,
523,5.0,https://www.douban.com/people/162554554,1,0.0,1497481200.0,
419,1.0,https://www.douban.com/people/162528733,2,0.0,1497394800.0,
1278,1.0,https://www.douban.com/people/162547582,1,0.0,1497394800.0,
1734,3.0,https://www.douban.com/people/162541066,1,0.0,1497394800.0,
849,3.0,https://www.douban.com/people/162534829,1,2.0,1497394800.0,
1832,5.0,https://www.douban.com/people/162507013,1,0.0,1497394800.0,
